speaker,text,date,year,debate_id
Kaine,Governor Pence had to give Donald Trump his tax returns to show he was qualified to be vice president. Donald Trump must give the American public his tax returns to show that he’s qualified to be president. And he’s breaking his promise.,2016-10-04,2016,2016_October_4_2016
Pence,"Elaine, I have to respond to this.",2016-10-04,2016,2016_October_4_2016
Quijano,"You get very little time, 20 seconds.",2016-10-04,2016,2016_October_4_2016
Pence,I’ll be — I’ll be very respectful.,2016-10-04,2016,2016_October_4_2016
Pence,"Look, Donald Trump has filed over 100 pages of financial disclosure, which is what the law requires.",2016-10-04,2016,2016_October_4_2016
Kaine,But he said he would release his tax returns.,2016-10-04,2016,2016_October_4_2016
Quijano,"All right, Gentlemen…",2016-10-04,2016,2016_October_4_2016
Pence,"The American people can review that. And he’s going — Senator, he’s going to release his tax returns when the audit is over…",2016-10-04,2016,2016_October_4_2016
Quijano,… I need to ask you about Social Security…,2016-10-04,2016,2016_October_4_2016
Kaine,Richard Nixon released tax returns when he was under audit.,2016-10-04,2016,2016_October_4_2016
Pence,They’re going to raise your taxes. We’re going to cut your taxes.,2016-10-04,2016,2016_October_4_2016
Quijano,Gentlemen…,2016-10-04,2016,2016_October_4_2016
Kaine,If you can’t meet Nixon’s standard…,2016-10-04,2016,2016_October_4_2016
Quijano,The people at home cannot understand either one of you when you speak over each other. I would please ask you to wait until it is that the other is finished.,2016-10-04,2016,2016_October_4_2016
Kaine,All right. We’re having fun up here.,2016-10-04,2016,2016_October_4_2016
Quijano,"Senator Kaine, on the issue of Social Security, in 18 years, when the Social Security Trust Funds run out of money, you’ll be 76. The Committee for a Responsible Federal Budget estimates your benefits could be cut by as much as $7,500 per year. What would your administration do to prevent this cut?",2016-10-04,2016,2016_October_4_2016
Kaine,"First, we’re going to protect Social Security, which is one of the greatest programs that the American government has ever done. It happened at a time when you would work your whole life, your whole life, raising your kids, working, being a Little League coach or a Sunday school teacher, and then you would retire into poverty. And Social Security has enabled people to retire with dignity and overwhelmingly not be in poverty.",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor Pence, I’ll give you an opportunity to respond.",2016-10-04,2016,2016_October_4_2016
Pence,"Well, thanks, Elaine. There they go again. OK…",2016-10-04,2016,2016_October_4_2016
Kaine,Go read — go read the book.,2016-10-04,2016,2016_October_4_2016
Pence,All Donald Trump — all Donald Trump and I have said about Social Security is we’re going to meet our obligations to our seniors. That’s it.,2016-10-04,2016,2016_October_4_2016
Kaine,Go read the book.,2016-10-04,2016,2016_October_4_2016
Pence,"We’ve said we’re going to meet the obligations of Medicare. That’s what this campaign is really about, Senator. And I get, this is — this is the old scare tactic that they roll out…",2016-10-04,2016,2016_October_4_2016
Kaine,"But — but you have a voting record, Governor.",2016-10-04,2016,2016_October_4_2016
